City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,santa elena de uairen,4.6167,-61.1333,-522.27,62,94,0.96,VE,1702254133
318,yacuiba,-22.038,-63.6797,-527.01,96,100,1.83,BO,1702254465
319,barclayville,4.6797,-8.2339,-520.4699999999999,86,10,1.66,LR,1702254465
320,illizi,26.4833,8.4667,-536.4099999999999,72,32,1.43,DZ,1702254465
321,belmonte,-15.8631,-38.8828,-521.51,85,3,2.88,BR,1702254052
322,kabo,7.6994,18.629,-522.87,27,95,1.63,CF,1702254466
323,tonsberg,59.2675,10.4076,-546.55,98,100,4.63,NO,1702254466
324,giyani,-23.3025,30.7187,-525.91,95,95,4.27,ZA,1702254467
325,yarmouth,41.7057,-70.2286,-531.31,95,100,6.69,US,1702253660
326,pochaiv,50.0051,25.5118,-550.1599999999999,94,100,4.57,UA,1702254467
327,adrar,20.5022,-10.0711,-528.42,21,47,6.14,MR,1702254468
328,ancud,-41.8697,-73.8203,-533.18,83,96,2.92,CL,1702254098
329,ashburton,-37.8626,145.0794,-526.91,95,100,1.34,AU,1702254468
330,carutapera,-1.195,-46.02,-519.8,79,52,3.18,BR,1702253996
331,as sulayyil,20.4607,45.5779,-533.1599999999999,29,52,2.23,SA,1702254469
332,gisborne,-38.6533,178.0042,-530.18,68,86,3.28,NZ,1702254469
333,gadzhiyevo,69.2551,33.3362,-559.78,89,95,7.22,RU,1702253957
334,hammerfest,70.6634,23.6821,-550.05,68,75,4.12,NO,1702253892
335,kapit,2.0167,112.9333,-521.81,94,100,0.5,MY,1702253913
336,ouadda,8.0777,22.4007,-524.0999999999999,42,70,1.32,CF,1702254470
337,timbuktu,16.7735,-3.0074,-526.18,19,3,5.1,ML,1702254471
